title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Toyota Corolla Altis Manual 1.6 2020,4750000,Lahore,2020,51500,Petrol,Not Available,Punjab,White,Local,1600,2024-05-02,High,Medium,Thursday,4
Suzuki Cultus VXR 2021,3700000,Bahawalpur,2021,37597,Petrol,Not Available,Punjab,Silver,Local,1000,2024-05-02,Medium,Low,Thursday,3
Mercedes Benz C Class C250 2012,3000000,Sukkur,2012,54000,Petrol,Automatic,Sindh,Black,Imported,1800,2024-05-02,Medium,Medium,Thursday,12
Toyota Yaris Hatchback 2020,4700000,Bahawalpur,2020,90000,Petrol,Automatic,Punjab,Silver,Imported,1000,2024-05-02,High,Medium,Thursday,4
Mercedes Benz E Class E200 2012,12000000,Islamabad,2012,95000,Petrol,Automatic,Lahore,White,Imported,1800,2024-04-27,High,Medium,Saturday,12
MG ZS EV 2024,12300000,Lahore,2024,90,Not Available,Automatic,Un-Registered,Black,Local,1300,2024-04-27,High,Low,Saturday,0
Toyota Prado TX 2.7 2013,15300000,Faisalabad,2013,64000,Petrol,Automatic,Sindh,Super White,Imported,2700,2024-04-27,High,Medium,Saturday,11
Honda Civic RS 2023,9650000,Islamabad,2023,24000,Petrol,Automatic,Islamabad,Taffeta White,Local,1500,2024-04-26,High,Low,Friday,1
Toyota Corolla Altis X Automatic 1.6 Special Edition 2023,6700000,Karachi,2023,16000,Petrol,Automatic,Sindh,Black,Local,1600,2024-04-26,High,Low,Friday,1
Honda Fit Shuttle Hybrid 2020,6998999,Karachi,2020,78000,Hybrid,Automatic,Un-Registered,Black,Imported,1500,2024-04-26,High,Medium,Friday,4
Toyota Fortuner 2.8 Sigma 4 2018,12700000,Karachi,2018,47800,Diesel,Automatic,Islamabad,Super White,Local,2800,2024-04-26,High,Low,Friday,6
Honda Civic Oriel 1.8 i-VTEC CVT 2018,5525000,Islamabad,2018,84000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,2024-04-26,High,Medium,Friday,6
Toyota Corolla Altis Automatic 1.6 2018,4700000,Lahore,2018,920000,Petrol,Automatic,Lahore,Super White,Local,1600,2024-04-26,High,High,Friday,6
Toyota Corolla Altis Automatic 1.8 2005,2250000,Islamabad,2005,140000,Petrol,Automatic,Lahore,Black Sand Pearl,Local,1800,2024-04-26,Medium,High,Friday,19
Porsche Cayenne Hybrid 2013,13799999,Lahore,2013,125250,Petrol,Automatic,Punjab,Silver,Imported,3000,2024-04-26,High,High,Friday,11
Daihatsu Move Custom X 2020,3290000,Islamabad,2020,6000,Petrol,Automatic,Un-Registered,Sea Green,Imported,660,2024-05-02,Medium,Low,Thursday,4
Toyota Vitz F 1.0 2010,2100000,Sahiwal,2010,75000,Petrol,Automatic,Lahore,Black,Imported,1000,2024-05-02,Low,Medium,Thursday,14
Toyota Vitz F M Package 1.0 2018,4129999,Lahore,2018,83000,Petrol,Automatic,Punjab,Super White II,Imported,996,2024-05-02,High,Medium,Thursday,6
Toyota Vitz F Limited 1.0 2013,3030000,Rawalpindi,2013,118000,Petrol,Automatic,Islamabad,Black Mica Metallic,Imported,1000,2024-05-02,Medium,High,Thursday,11
Toyota Fortuner 2.8 Sigma 4 2019,13400000,Lahore,2019,91000,Diesel,Automatic,Lahore,Super White,Local,2800,2024-05-02,High,Medium,Thursday,5
Daihatsu Tanto Custom RS 2015,1995000,Karachi,2015,122000,Petrol,Automatic,Karachi,White,Imported,660,2024-05-02,Low,High,Thursday,9
Daihatsu Tanto Custom X SA 2015,2110000,Rawalpindi,2015,76000,Petrol,Automatic,Lahore,Bright Silver Metallic,Imported,660,2024-05-02,Low,Medium,Thursday,9
Honda Civic 2001,2550000,Islamabad,2001,120000,Petrol,Automatic,Punjab,Purl Black,Imported,1500,2024-05-02,Medium,High,Thursday,23
Honda City 1.2L CVT 2022,4690000,Sargodha,2022,40000,Petrol,Automatic,Islamabad,White,Local,1200,2024-05-02,High,Low,Thursday,2
Daihatsu Mira 2020,3400000,Lahore,2020,76000,Petrol,Automatic,Un-Registered,White,Imported,660,2024-05-02,Medium,Medium,Thursday,4
Honda Civic VTi Prosmatec 1.8 i-VTEC 2015,3860000,Lahore,2015,84000,Petrol,Automatic,Lahore,Taffeta White,Local,1800,2024-05-02,Medium,Medium,Thursday,9
Ford Other 1993,330000,Rawalpindi,1993,1000,Petrol,Not Available,Punjab,Red,Imported,1300,2024-05-02,Low,Low,Thursday,31
FAW X-PV Basic 2017,880000,Sheikhupura,2017,124000,Petrol,Not Available,Lahore,Grey,Local,1000,2024-05-02,Low,High,Thursday,7
Nissan AD Van 2006,1380000,Islamabad,2006,150000,Petrol,Automatic,Punjab,White,Imported,1300,2024-05-02,Low,High,Thursday,18
Suzuki Alto VXR 2012,1100000,Karachi,2012,137000,Petrol,Not Available,Sindh,Grey,Local,1000,2024-05-02,Low,High,Thursday,12
Toyota Corolla XLi 2004,1900000,Lahore,2004,750,Petrol,Not Available,Lahore,Black,Local,1300,2024-05-02,Low,Low,Thursday,20
Toyota Belta X 1.0 2006,2180000,Kohat,2006,126000,Petrol,Automatic,Islamabad,Grey,Imported,1000,2024-05-02,Low,High,Thursday,18
Honda Vezel Hybrid Z 2017,6285000,Peshawar,2017,100560,Hybrid,Automatic,Islamabad,Black,Imported,1500,2024-04-26,High,High,Friday,7
Honda Civic RS 2024,9750000,Gujranwala,2018,1700,Petrol,Automatic,Un-Registered,Black,Local,1500,2024-04-26,High,Low,Friday,6
Nissan Note 2022,7300000,Lahore,2022,15000,Hybrid,Automatic,Un-Registered,White,Imported,1200,2024-04-26,High,Low,Friday,2
Toyota Corolla Altis SR Cruisetronic 1.6 2012,3100000,Karachi,2012,136595,Petrol,Automatic,Sindh,Gold,Local,1600,2024-04-26,Medium,High,Friday,12
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2023,7375000,Karachi,2023,12000,Petrol,Automatic,Sindh,Super white,Imported,1800,2024-04-26,High,Low,Friday,1
Toyota Hilux Revo GR-S 2024,0,Islamabad,2024,5,Diesel,Automatic,Un-Registered,White,Local,2800,2024-04-26,Low,Low,Friday,0
Mercedes Benz E Class E200 2013,12400000,Karachi,2013,73000,Petrol,Automatic,Karachi,White,Imported,1800,2024-04-26,High,Medium,Friday,11
Toyota Corolla Altis X Automatic 1.6 2021,5600000,Lahore,2021,13334,Petrol,Automatic,Lahore,Super White,Local,1598,2024-04-26,High,Low,Friday,3
Toyota Corolla Altis Automatic 1.6 2015,3250000,Karachi,2015,102500,Petrol,Automatic,Karachi,Blue,Local,1600,2024-04-26,Medium,High,Friday,9
Toyota Raize Z 2020,6600000,Islamabad,2020,11000,Petrol,Automatic,Un-Registered,White,Imported,996,2024-04-26,High,Low,Friday,4
Mitsubishi EK X 2022,4225000,Rawalpindi,2022,13300,Hybrid,Automatic,Un-Registered,Silver,Imported,660,2024-04-26,High,Low,Friday,2
Honda Vezel Hybrid RS Honda Sensing  2018,8150000,Peshawar,2018,130000,Petrol,Automatic,Un-Registered,Black Metallic,Imported,1500,2024-04-26,High,High,Friday,6
Suzuki Wagon R AGS 2022,3300000,Lahore,2022,14600,Petrol,Automatic,Punjab,Solid White,Local,1000,2024-05-02,Medium,Low,Thursday,2
Toyota Corolla Altis Automatic 1.6 2018,5000000,Multan,2018,22000,Petrol,Automatic,Islamabad,Super White,Local,1600,2024-05-02,High,Low,Thursday,6
Suzuki Swift GL Manual 2023,4125000,Multan,2023,15900,Petrol,Not Available,Punjab,Solid White,Local,1242,2024-05-02,High,Low,Thursday,1
Mazda Carol 2014,2375000,Islamabad,2014,66000,Petrol,Automatic,Islamabad,Pink,Imported,660,2024-05-02,Medium,Medium,Thursday,10
Toyota Vitz F 1.0 2006,2125000,Multan,2006,190000,Petrol,Automatic,Multan,White,Imported,1000,2024-05-02,Low,High,Thursday,18
Honda Fit 1.5 Hybrid S Package 2015,4125000,Sialkot,2015,48000,Hybrid,Automatic,Islamabad,Milano Red,Imported,1500,2024-05-02,High,Low,Thursday,9
Toyota Corolla GLi 1.3 VVTi 2016,4550000,Ahmed pur east,2016,36000,Petrol,Not Available,Lahore,White,Local,1300,2024-05-02,High,Low,Thursday,8
Hyundai Tucson AWD A/T Ultimate 2021,7450000,Rawalpindi,2021,45000,Petrol,Automatic,Islamabad,Silver,Imported,2000,2024-05-02,High,Low,Thursday,3
Toyota Aqua L 2020,5600000,Karachi,2020,86000,Hybrid,Automatic,Un-Registered,White,Imported,1500,2024-05-02,High,Medium,Thursday,4
Toyota Corolla Altis Grande 1.8 2020,6040000,Gujranwala,2020,62000,Petrol,Automatic,Punjab,Attitude Black,Local,1800,2024-05-02,High,Medium,Thursday,4
Toyota Prius G Touring Selection 1.5 2006,3132000,Lahore,2006,285000,Petrol,Automatic,Lahore,Red,Imported,1500,2024-05-02,Medium,High,Thursday,18
Toyota Passo Moda G 2019,4240000,Rawalpindi,2019,55000,Petrol,Automatic,Islamabad,White,Imported,1000,2024-05-02,High,Medium,Thursday,5
Suzuki Wagon R AGS 2021,2895000,Lahore,2021,32000,Petrol,Automatic,Islamabad,Solid White,Local,1000,2024-05-02,Medium,Low,Thursday,3
Honda City 1.3 i-VTEC Prosmatec 2018,3775000,Lahore,2018,69000,Petrol,Automatic,Lahore,White,Local,1300,2024-05-02,Medium,Medium,Thursday,6
Hyundai Santro Exec 2005,1085000,Rawalpindi,2005,144000,Petrol,Not Available,Islamabad,Black,Local,1000,2024-05-02,Low,High,Thursday,19
Honda Civic Oriel 1.8 i-VTEC CVT 2020,6200000,Peshawar,2020,67000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,2024-05-02,High,Medium,Thursday,4
Honda City 1.3 i-VTEC 2013,2790000,Lahore,2013,78000,Petrol,Not Available,Lahore,Silver,Local,1300,2024-05-02,Medium,Medium,Thursday,11
Toyota C-HR G-LED 2018,8100000,Peshawar,2018,165000,Hybrid,Automatic,Un-Registered,Unlisted,Imported,1800,2024-04-26,High,High,Friday,6
Honda Vezel Hybrid RS Honda Sensing  2018,7950000,Peshawar,2018,109000,Petrol,Automatic,Un-Registered,Black,Imported,1500,2024-04-26,High,High,Friday,6
Toyota Corolla Cross 1.8 2021,13799999,Karachi,2021,21000,Hybrid,Automatic,Un-Registered,White,Imported,1800,2024-04-26,High,Low,Friday,3
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,6500000,Karachi,2021,36000,Petrol,Automatic,Un-Registered,Graphite Grey,Local,1800,2024-04-26,High,Low,Friday,3
Toyota C-HR G 2017,7000000,Islamabad,2017,134000,Hybrid,Automatic,Islamabad,White,Imported,1800,2024-04-26,High,High,Friday,7
Suzuki Cultus VXL 2019,3120000,Faisalabad,2019,22864,Petrol,Not Available,Lahore,Silver,Local,1000,2024-04-26,Medium,Low,Friday,5
Toyota Corolla GLi Automatic 1.3 VVTi 2018,4395000,Islamabad,2018,40000,Petrol,Automatic,Punjab,Black,Local,1300,2024-04-26,High,Low,Friday,6
Toyota Vitz F Safety Edition III 2019,4150000,Karachi,2019,52000,Petrol,Automatic,Karachi,Black,Imported,1300,2024-04-26,High,Medium,Friday,5
Honda Civic Oriel 1.8 i-VTEC CVT 2019,5690000,Lahore,2019,93000,Petrol,Automatic,Lahore,Silver,Local,1800,2024-04-26,High,Medium,Friday,5
Toyota Prado 2010,13500000,Islamabad,2010,155000,Petrol,Automatic,Islamabad,Black,Imported,2700,2024-04-26,High,High,Friday,14
Suzuki Cultus Auto Gear Shift 2020,3295000,Islamabad,2020,76000,Petrol,Automatic,Islamabad,Silky Silver,Local,1000,2024-04-26,Medium,Medium,Friday,4
Toyota Corolla Altis Automatic 1.6 2019,4875000,Islamabad,2019,72200,Petrol,Automatic,Islamabad,Black,Local,1600,2024-04-26,High,Medium,Friday,5
Toyota Yaris ATIV X CVT 1.5 2022,5050000,Karachi,2022,7700,Petrol,Automatic,Karachi,Super White,Local,1500,2024-05-02,High,Low,Thursday,2
Suzuki Mehran VX Euro II 2015,1050000,Bahawalpur,2015,79000,Petrol,Not Available,Punjab,Gold,Local,800,2024-05-02,Low,Medium,Thursday,9
Suzuki Cultus Auto Gear Shift 2018,2940000,Multan,2018,54500,Petrol,Automatic,Multan,White,Local,1000,2024-05-02,Medium,Medium,Thursday,6
Suzuki Alto VXL AGS 2022,2845000,Lahore,2022,26000,Petrol,Automatic,Punjab,Maroon,Local,660,2024-05-02,Medium,Low,Thursday,2
Suzuki Mehran VX 1999,800000,Islamabad,1999,57000,Petrol,Not Available,Islamabad,Brown,Local,800,2024-05-02,Low,Medium,Thursday,25
Nissan AD Van 2007,1850000,Quetta,2007,109600,Petrol,Automatic,Karachi,White,Local,1500,2024-05-02,Low,High,Thursday,17
Toyota Mark II Grande 2.0 2003,2700000,Islamabad,2003,200000,Petrol,Automatic,Sindh,Black,Imported,2000,2024-05-02,Medium,High,Thursday,21
Daihatsu Mira ES 2014,2470000,Islamabad,2014,122000,Petrol,Automatic,Islamabad,Mica Black,Imported,660,2024-05-02,Medium,High,Thursday,10
Hyundai Tucson AWD A/T Ultimate 2021,7800000,Sheikhupura,2021,26800,Petrol,Automatic,Lahore,Graphite Grey,Local,2000,2024-05-02,High,Low,Thursday,3
Honda City 1.3 i-VTEC 2017,3100000,Rawalpindi,2017,89200,Petrol,Not Available,Islamabad,Crystal Black Pearl,Local,1300,2024-05-02,Medium,Medium,Thursday,7
Toyota ISIS 2021,5700000,Peshawar,2021,67000,Petrol,Automatic,Islamabad,White,Local,1600,2024-05-02,High,Medium,Thursday,3
Honda City 1.3 i-VTEC 2009,2400000,Lahore,2009,75000,Petrol,Not Available,Sindh,Black,Local,1300,2024-05-02,Medium,Medium,Thursday,15
Honda City Aspire Prosmatec 1.3 i-VTEC 2013,2990000,Islamabad,2013,135000,Petrol,Automatic,Islamabad,Black,Local,1300,2024-05-02,Medium,High,Thursday,11
Toyota Prado TX 2.7 2017,22500000,Lahore,2017,65000,Petrol,Automatic,Punjab,Black,Imported,2700,2024-04-26,High,Medium,Friday,7
Honda Civic RS 2023,9800000,Islamabad,2023,16000,Petrol,Automatic,Islamabad,Crystal Black Pearl,Local,1500,2024-04-26,High,Low,Friday,1
Toyota Corolla Altis CVT-i 1.8 2019,5100000,Karachi,2019,182000,Petrol,Automatic,Karachi,Grey,Imported,1800,2024-04-26,High,High,Friday,5
Toyota Land Cruiser ZX 2016,38500000,Islamabad,2016,77000,Petrol,Automatic,Islamabad,Attitude Black Mica,Imported,4600,2024-04-26,High,Medium,Friday,8
Toyota Yaris ATIV X CVT 1.5 2021,4390000,Karachi,2021,46000,Petrol,Automatic,Sindh,Grey,Local,1500,2024-04-26,High,Low,Friday,3
Toyota Vitz F 1.0 2018,4000000,Sialkot,2018,50000,Petrol,Automatic,Punjab,Silver,Imported,1000,2024-04-26,Medium,Low,Friday,6
Honda BR-V i-VTEC S 2020,5100000,Rawalpindi,2020,33590,Petrol,Automatic,Islamabad,White,Local,1500,2024-04-26,High,Low,Friday,4
Honda Civic Oriel 1.8 i-VTEC CVT 2020,6500000,Haripur,2020,83000,Petrol,Automatic,Islamabad,Black,Local,1800,2024-04-26,High,Medium,Friday,4
Tesla Model 3 Long Range 2020,19400000,Lahore,2020,20700,Not Available,Automatic,Punjab,White,Imported,1300,2024-04-26,High,Low,Friday,4
Suzuki Alto VXL AGS 2022,2800000,Multan,2022,40000,Petrol,Automatic,Islamabad,White,Local,660,2024-04-26,Medium,Low,Friday,2
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2014,3750000,Lahore,2014,109000,Petrol,Automatic,Lahore,Bronze,Local,1800,2024-04-26,Medium,High,Friday,10
Daihatsu Cuore CX Automatic 2006,950000,Karachi,2006,150000,Petrol,Automatic,Sindh,Grey,Local,800,2024-05-02,Low,High,Thursday,18
Honda City 1.3 i-VTEC 2017,3425000,Lahore,2017,81500,Petrol,Not Available,Lahore,White,Local,1300,2024-05-02,Medium,Medium,Thursday,7
Honda Civic Oriel 1.8 i-VTEC CVT 2019,5730000,Karachi,2019,73800,Petrol,Automatic,Sindh,Taffeta White,Local,1800,2024-05-02,High,Medium,Thursday,5
KIA Picanto 1.0 AT 2021,2950000,Karachi,2021,24500,Petrol,Automatic,Sindh,Clear White,Local,998,2024-05-02,Medium,Low,Thursday,3
Suzuki Cultus 2018,2500000,Rawalpindi,2018,104000,Petrol,Not Available,Islamabad,White,Local,1000,2024-05-02,Medium,High,Thursday,6
Toyota Yaris ATIV X CVT 1.5 2021,4800000,Layyah,2021,64000,Petrol,Automatic,Punjab,Super White,Local,1500,2024-05-02,High,Medium,Thursday,3
Toyota Corolla Altis X Automatic 1.6 2022,5750000,Karachi,2022,40000,Petrol,Automatic,Karachi,Silver Metallic,Local,1598,2024-05-02,High,Low,Thursday,2
Honda Civic VTi Oriel 1.8 i-VTEC 2006,1950000,Karachi,2006,80000,Petrol,Not Available,Sindh,White,Local,1800,2024-05-02,Low,Medium,Thursday,18
Mitsubishi Ek Wagon E 2013,1780000,Karachi,2013,75000,Petrol,Automatic,Karachi,Mica Black,Imported,660,2024-05-02,Low,Medium,Thursday,11
Suzuki Cultus VXL 2020,3050000,Lahore,2020,34125,Petrol,Not Available,Lahore,Graphite Grey,Local,1000,2024-05-02,Medium,Low,Thursday,4
Toyota Hilux Double Cab 1995,3100000,Swat,1995,400000,Diesel,Not Available,Swat,Green,Imported,2400,2024-05-02,Medium,High,Thursday,29
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2014,3725000,Karachi,2014,100000,Petrol,Automatic,Karachi,Taffeta White,Local,1800,2024-05-02,Medium,Medium,Thursday,10
Honda Civic VTi Oriel UG Prosmatec 1.6 2005,1664999,Lahore,2005,170000,Petrol,Automatic,Punjab,Taffeta White,Local,1600,2024-05-02,Low,High,Thursday,19
Suzuki Cultus VXL 2017,2580000,Lahore,2017,127000,Petrol,Not Available,Punjab,White,Local,1000,2024-05-02,Medium,High,Thursday,7
Suzuki Cultus EURO II 2014,1520000,Islamabad,2014,110000,Petrol,Not Available,Sindh,Solid White,Local,1000,2024-05-02,Low,High,Thursday,10
Honda City Aspire Prosmatec 1.5 i-VTEC 2017,3785000,Rawalpindi,2017,61280,Petrol,Automatic,Islamabad,White,Local,1500,2024-05-02,Medium,Medium,Thursday,7
Honda Civic EXi 1997,880000,Taxila,1997,50000,Petrol,Not Available,Faisalabad,Silver,Local,1500,2024-05-02,Low,Low,Thursday,27
Honda Civic RS 2024,10100000,Mian channu,2022,11000,Petrol,Automatic,Punjab,Taffeta White,Imported,1500,2024-05-02,High,Low,Thursday,2
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2012,2680000,Shorkot,2012,115000,Petrol,Automatic,Punjab,Black,Local,1800,2024-05-02,Medium,High,Thursday,12
Suzuki Cultus VXR 2004,700000,Faisalabad,2004,150000,Petrol,Not Available,Faisalabad,White,Local,1000,2024-05-02,Low,High,Thursday,20
Toyota Yaris ATIV CVT 1.3 2022,4500000,Lahore,2022,40000,Petrol,Automatic,Islamabad,Super White,Local,1300,2024-04-26,High,Low,Friday,2
Toyota C-HR G-LED 2018,8250000,Karachi,2018,62000,Hybrid,Automatic,Un-Registered,White Pearl,Imported,1800,2024-04-26,High,Medium,Friday,6
Hyundai H-100 High Deck 2024,4050000,Karachi,2024,10,Diesel,Not Available,Un-Registered,White,Local,2600,2024-04-26,High,Low,Friday,0
Nissan Note 2021,6500000,Karachi,2021,56437,Hybrid,Automatic,Un-Registered,Black,Imported,1200,2024-04-26,High,Medium,Friday,3
Nissan Note 2021,6500000,Karachi,2021,69567,Hybrid,Automatic,Un-Registered,Grey,Imported,1200,2024-04-26,High,Medium,Friday,3
Toyota Fortuner 2.7 VVTi 2014,6950000,Karachi,2014,73000,Petrol,Automatic,Karachi,Bronze Mica,Local,2700,2024-04-26,High,Medium,Friday,10
Suzuki Swift GLX CVT 2023,4950000,Lahore,2023,7500,Petrol,Automatic,Punjab,White,Local,1200,2024-04-26,High,Low,Friday,1
Honda Civic 1.8 i-VTEC CVT 2019,5180000,Islamabad,2019,59000,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,1800,2024-04-26,High,Medium,Friday,5
Toyota Corolla Altis Automatic 1.6 2017,4570000,Islamabad,2017,91000,Petrol,Automatic,Islamabad,White,Local,1600,2024-04-26,High,Medium,Friday,7
Toyota Hilux Revo V Automatic 2.8 2020,11399999,Islamabad,2020,51000,Diesel,Automatic,Islamabad,Super White,Local,2800,2024-04-26,High,Medium,Friday,4
Toyota Vitz B Intelligent Package 1.0 2010,2100000,Lahore,2010,105000,Petrol,Automatic,Sindh,Silver,Imported,1000,2024-04-26,Low,High,Friday,14
Toyota Land Cruiser VX Limited 4.2D 2006,10500000,Lahore,2006,228000,Diesel,Automatic,Lahore,Black,Imported,4164,2024-05-02,High,High,Thursday,18
Toyota Fortuner 2.7 G 2018,11600000,Lahore,2018,66000,Petrol,Automatic,Islamabad,White,Local,2700,2024-05-02,High,Medium,Thursday,6
Suzuki Mehran VX (CNG) 2010,800000,Islamabad,2010,58800,Petrol,Not Available,Karachi,Grey,Local,800,2024-05-02,Low,Medium,Thursday,14
Honda Civic 1.8 i-VTEC CVT 2018,5050000,Lahore,2018,61725,Petrol,Automatic,Lahore,Silver,Local,1800,2024-05-02,High,Medium,Thursday,6
Honda Civic VTi Oriel 1.8 i-VTEC 2009,2475000,Lahore,2009,198000,Petrol,Not Available,Lahore,Blue,Local,1800,2024-05-02,Medium,High,Thursday,15
Suzuki Cultus VXL 2021,3400000,Sargodha,2021,39000,Petrol,Not Available,Punjab,White,Local,1000,2024-05-02,Medium,Low,Thursday,3
Honda City 1.2L M/T 2022,4400000,Islamabad,2022,8120,Petrol,Not Available,Islamabad,Lunar Silver Metallic,Local,1200,2024-05-02,High,Low,Thursday,2
Nissan Sunny 1988,595000,Rawalpindi,2008,150000,Petrol,Not Available,Punjab,White,Imported,1300,2024-05-02,Low,High,Thursday,16
Toyota Hilux Revo V Automatic 2.8 2018,9150000,Karachi,2018,89000,Diesel,Automatic,Sindh,Super White,Local,2800,2024-05-02,High,Medium,Thursday,6
Suzuki Cultus VXL 2006,840000,Lahore,2006,49200,Petrol,Not Available,Punjab,Solid White,Local,1000,2024-05-02,Low,Low,Thursday,18
Honda BR-V 2022,5500000,Karachi,2022,27000,Petrol,Automatic,Sindh,Grey,Imported,1600,2024-05-02,High,Low,Thursday,2
Honda Civic 2005,1600000,Lahore,2005,119000,Petrol,Automatic,Lahore,Silver,Local,1500,2024-05-02,Low,High,Thursday,19
MG HS 1.5 Turbo 2021,6620000,Karachi,2021,4500,Petrol,Automatic,Karachi,Arctic White,Imported,1490,2024-05-02,High,Low,Thursday,3
Toyota Aqua S 2020,6200000,Gujranwala,2020,54000,Hybrid,Automatic,Un-Registered,White,Imported,1500,2024-05-02,High,Medium,Thursday,4
Toyota Yaris ATIV MT 1.3 2021,4250000,Lahore,2021,56000,Petrol,Not Available,Punjab,White,Local,1300,2024-05-02,High,Medium,Thursday,3
Toyota Corolla Altis Automatic 1.6 2019,4690000,Mandi bahauddin,2019,62100,Petrol,Automatic,Lahore,Super White,Local,1600,2024-05-02,High,Medium,Thursday,5
Toyota Corolla GLi 1.3 VVTi 2019,4500000,Bhera,2019,132,Petrol,Not Available,Lahore,Attitude Black,Local,1300,2024-05-02,High,Low,Thursday,5
Toyota Corolla Altis X Manual 1.6 2023,4650000,Lahore,2023,70000,Petrol,Not Available,Punjab,White,Local,1600,2024-05-02,High,Medium,Thursday,1
Toyota Vitz F 1.0 2014,3000000,Karachi,2014,70000,Petrol,Automatic,Sindh,Gold,Imported,1000,2024-05-02,Medium,Medium,Thursday,10
Toyota Premio X EX Package 1.8 2009,5750000,Peshawar,2009,200000,Petrol,Automatic,Islamabad,Black,Imported,1800,2024-05-02,High,High,Thursday,15
Hyundai Tucson AWD A/T Ultimate 2021,7200000,Sialkot,2021,42400,Petrol,Automatic,Islamabad,Black,Local,2000,2024-04-26,High,Low,Friday,3
Nissan Clipper DX 2019,0,Gujranwala,2019,85000,Petrol,Automatic,Un-Registered,White,Imported,660,2024-04-26,Low,Medium,Friday,5
Audi A5 1.4 TFSI Sportback 2019,16000000,Islamabad,2019,80000,Petrol,Automatic,Islamabad,Black,Imported,1400,2024-04-26,High,Medium,Friday,5
Nissan Dayz 2021,0,Gujranwala,2021,6000,Petrol,Automatic,Un-Registered,Silver,Imported,660,2024-04-26,Low,Low,Friday,3
Hyundai Tucson FWD A/T GLS Sport 2020,7100000,Lahore,2020,64000,Petrol,Automatic,Punjab,White,Local,2000,2024-04-26,High,Medium,Friday,4
Honda City 1.3 i-VTEC 2018,2950000,Islamabad,2018,98500,Petrol,Not Available,Islamabad,Silver,Local,1300,2024-04-26,Medium,Medium,Friday,6
Honda Vezel Hybrid X 2015,4350000,Karachi,2015,60000,Hybrid,Automatic,Karachi,Black,Imported,1500,2024-04-26,High,Medium,Friday,9
Toyota Raize Z 2019,5950000,Karachi,2019,64719,Petrol,Automatic,Un-Registered,Pearl White,Imported,1000,2024-04-26,High,Medium,Friday,5
Toyota Aqua S 2020,6050000,Peshawar,2020,84000,Hybrid,Automatic,Un-Registered,White,Imported,1500,2024-04-26,High,Medium,Friday,4
Honda Insight EX 2020,12000000,Karachi,2020,5000,Hybrid,Automatic,Un-Registered,White,Imported,1500,2024-04-26,High,Low,Friday,4
BMW 5 Series 530d 2005,5700000,Karachi,2005,80000,Diesel,Automatic,Un-Registered,Black Sapphire Metallic,Imported,3000,2024-04-26,High,Medium,Friday,19
Mercedes Benz E Class E63 AMG 2013,19500000,Islamabad,2013,84000,Petrol,Automatic,Karachi,Diamond White Metallic,Imported,5500,2024-04-26,High,Medium,Friday,11
Toyota Corolla G 2004,3529999,Quetta,2004,110000,Petrol,Automatic,Karachi,White,Imported,1500,2024-05-02,Medium,High,Thursday,20
Honda City 1.3 i-VTEC 2015,2725000,Lahore,2015,78000,Petrol,Not Available,Punjab,Silver,Local,1300,2024-05-02,Medium,Medium,Thursday,9
Suzuki Mehran VXR Euro II 2017,1250000,Lahore,2017,54000,Petrol,Not Available,Lahore,Solid White,Local,796,2024-05-02,Low,Medium,Thursday,7
Suzuki Alto VXR 2022,2470000,Wah cantt,2022,71000,Petrol,Not Available,Islamabad,Solid White,Local,660,2024-05-02,Medium,Medium,Thursday,2
Hyundai Santro 2002,1080000,Rawalpindi,2002,177000,Petrol,Not Available,Islamabad,Gold,Imported,1000,2024-05-02,Low,High,Thursday,22
Honda City 1.3 i-VTEC 2017,2925000,Faisalabad,2017,93000,Petrol,Not Available,Sindh,Taffeta White,Local,1300,2024-05-02,Medium,Medium,Thursday,7
Hyundai Tucson AWD A/T Ultimate 2021,7375000,Lahore,2021,49000,Petrol,Automatic,Punjab,Polar White,Local,2000,2024-05-02,High,Low,Thursday,3
Toyota Yaris ATIV CVT 1.3 2021,3970000,Karachi,2021,39000,Petrol,Automatic,Karachi,White,Local,1300,2024-05-02,Medium,Low,Thursday,3
Toyota Corolla GLi 1.3 VVTi 2018,3650000,Gujrat,2018,97000,Petrol,Not Available,Islamabad,White,Local,1300,2024-05-02,Medium,Medium,Thursday,6
Honda Civic VTi Prosmatec 1.8 i-VTEC 2007,2275000,Karachi,2007,126000,Petrol,Automatic,Sindh,Silky Silver,Local,1800,2024-05-02,Medium,High,Thursday,17
Mitsubishi Lancer GLX 1.5 2005,1750000,Gujranwala,2005,50000,Petrol,Not Available,Gujranwala,Navy,Imported,1500,2024-05-02,Low,Low,Thursday,19
Suzuki Swift DLX 1.3 2010,1695000,Lahore,2010,155000,Petrol,Not Available,Lahore,Burgundy,Local,1300,2024-05-02,Low,High,Thursday,14
